CODIGO,DIST_CONC_FREG,T_ELEI,D_ELEI,SIGLA,T_DADOS,VOTOS,P_VOTOS
230000,PORTUGAL,pe,12/06/1994,PSR,O,17780,0.58
230000,PORTUGAL,pe,12/06/1994,UDP,O,18884,0.62
230000,PORTUGAL,pe,12/06/1994,CDS-PP,O,379044,12.45
230000,PORTUGAL,pe,12/06/1994,MPT,O,12955,0.43
230000,PORTUGAL,pe,12/06/1994,MUT,O,2893,0.10
230000,PORTUGAL,pe,12/06/1994,P XXI,O,12402,0.41
230000,PORTUGAL,pe,12/06/1994,PCP-PEV,O,340725,11.19
230000,PORTUGAL,pe,12/06/1994,PCTP/MRPP,O,24022,0.79
230000,PORTUGAL,pe,12/06/1994,PDA,O,7127,0.23
230000,PORTUGAL,pe,12/06/1994,PPD/PSD,O,1046918,34.39
230000,PORTUGAL,pe,12/06/1994,PPM,O,8300,0.27
230000,PORTUGAL,pe,12/06/1994,PRD,O,5941,0.20
230000,PORTUGAL,pe,12/06/1994,PS,O,1061560,34.87
230000,PORTUGAL,pe,12/06/1994,PSN,O,11214,0.37
